Name,StreetName,Highway,Width,Points
Road_0037,Overbeckstrae,residential,6,-92342.5:164916.1|-93026:164178.1|-93312.8:163775.1|-93468.4:163501.3|-93613.5:163248.6|-93671.7:162921.3|-93649.3:162635.2|-93543.4:162218.8|-93025.3:161425.1
Road_0038,,footway,2,-90358.5:163592.5|-91067.3:162960.2
Road_0039,Ottostrae,residential,6,-78453.3:119230.4|-81524.6:123846.8|-84959.7:129539.7
Road_0040,Parkgrtel,secondary,9,-68440.9:81639.9|-70722.1:83280.7|-72054.8:84231.4
Road_0041,,trunk_link,7,-61067.2:119104.6|-61207.4:117729.8|-61449.3:115826.2|-61972.3:112176.1|-65835.1:92621.6|-66144.2:90669
Road_0042,,trunk_link,7,-66144.2:90669|-66843.9:89111.7|-67534.4:88208.9|-68003.4:87682.3|-68525.7:87315|-69332.6:86866.3|-70206.8:86554.6|-71292.7:86168.4
Road_0043,,motorway_link,7,-64425.9:77784.9|-65360.4:78240.1|-66592.2:78753.3|-67235.8:78907|-67893.3:78964.8|-68656.8:78903.6|-69243.6:78764.5|-69862.6:78507.3|-70464.1:78153.3|-71227.5:77550|-72273.5:76426.7
Road_0044,,motorway_link,7,-77028.7:80389.7|-76501.6:82288.9|-76408.3:83084.8|-76367:83775|-76452.5:84455.1|-76563.9:85094.1|-76891.3:86234|-78451.9:88751
Road_0045,,motorway_link,7,-147547.5:-20544.1|-147067.3:-20725.6|-146578:-20833.5|-146154.5:-20888.1|-145779.5:-20913.7|-145346.9:-20863.6|-144933.3:-20730|-144547:-20556.4|-144265.2:-20387.1|-144010:-20166.7|-143593.6:-19690.3|-142820.3:-18319.9|-142350.6:-17303.6|-141965.7:-16406.3|-141676.2:-15737.3|-141357.2:-15051.6|-141082.4:-14669.7|-140753.6:-14285.7|-140363.8:-13947.3|-139538:-13471.9|-132439.9:-10745.7|-131389.7:-10242.6|-130414.5:-9664.8|-129593.6:-9001.3|-128786.7:-8292.2|-128155.7:-7516.3|-127412.6:-6454.3|-125422.3:-2783
Road_0046,uere Kanalstrae,secondary,9,-148876:-19532.2|-147925.4:-20214.6|-147547.5:-20544.1
Road_0047,,motorway_link,7,-124013.2:-5166.4|-124716.4:-9138.3|-124874.1:-10168|-124940.7:-11230|-124928.8:-12837.4|-124827.1:-13862.7|-124597.9:-14835.6|-124300.7:-15817.5|-123849.9:-16744.8|-122920.3:-18319.9|-121875:-19954.1|-121091.2:-21332.3|-120700.1:-22379.8|-120370.6:-23574.2|-120168.7:-24951.3|-120191.8:-25953.1|-120380.4:-27212.2|-120618.7:-28161.7|-122307.6:-33633.1|-122841.1:-36019.8|-123034.6:-37792|-122912.6:-40268.9|-122329.3:-42793.6|-121709.6:-44250.8|-120695.8:-45975.2
Road_0048,,motorway_link,7,-149520.3:-33409.4|-149854.7:-34273.2|-150065.7:-35160.4|-150080.4:-35861.7|-149932.5:-36525.2|-149638.8:-37234.3|-149075.8:-38091.5
Road_0049,,motorway_link,7,-143314.6:-54507.8|-142814.7:-50084|-142888.3:-48750.4|-143084.6:-47622.7|-143498.9:-45967.4|-143828.4:-45150.3|-144218.2:-44376.6|-144702.7:-43589.6|-145248.8:-42841.5|-145915.5:-42141.3|-146531.7:-41553.5|-150223.4:-38392
Road_0050,,motorway_link,7,-150223.4:-38392|-151063.3:-38207.3|-151768.6:-38116|-152299.2:-38103.7|-152816.6:-38170.5|-153154.5:-38249.6|-153592:-38348.6|-154286.7:-38562.4
Road_0051,Butzweilerstrae,secondary,9,-143291.4:-25025.8|-143803.2:-26258.2
Road_0052,Butzweilerstrae,secondary_link,6,-137080.8:-32218.2|-138477.3:-31656.1|-139761.6:-30965.9|-141995.9:-29220.4|-142643.7:-28933.2|-143816.5:-28765.1|-144941:-28946.5|-145888.1:-29364
Road_0053,Butzweilerstrae,secondary,9,-145874.8:-26330.5|-145884.6:-25360.9|-146012.9:-24413.6|-146307.4:-23651
Road_0054,,motorway_link,7,-132721:-21266.6|-130428.5:-14908|-128155.7:-9208.4|-125422.3:-2783
Road_0055,,motorway_link,7,-133318.3:-33656.5|-131775.3:-34612.7|-130497.2:-35349.7|-129147.7:-35990.9|-128512.6:-36256.9|-127782.8:-36443.9|-127149.7:-36528.5|-126504.8:-36455.1|-125861.2:-36274.7|-125240.1:-35961.9|-124761.2:-35580.1|-124403:-35091.4|-123943.1:-34413.5|-123675.3:-33878|-123450.3:-33318.1|-122128.8:-29722.4|-121531.5:-27784.4|-121414.4:-26854.8|-121376.6:-25699.3|-121493.6:-24717.5|-121687.1:-24119.7|-122128.8:-23310.4|-122664.4:-22594.6|-123153.7:-22154.9|-123662.7:-21809.8|-124215.8:-21543.8|-124822.2:-21357.9|-125664.2:-21271|-126519.5:-21332.3|-127177.8:-21514.8|-127958:-21844.3|-128468.4:-22185|-129320.9:-22963.1|-129963.7:-23759|-131444.4:-26293.8
Road_0056,Wilhelmstrae,residential,6,71223.3:58405.2|73841.1:57812.9
Road_0057,,motorway_link,7,-137659.2:-45051.2|-137671.1:-49567.5|-137632.5:-50894.4|-137504.3:-52005.4|-137162.1:-53121.9|-136729.6:-53874.4|-136225.5:-54486.7|-135841.4:-54832.9|-135450.9:-55105.6|-135089.1:-55312.7|-134764.5:-55463|-134336.9:-55617.7|-133909.3:-55701.2|-133307.8:-55772.4|-132710.5:-55740.2|-132188.9:-55664.5|-131709.4:-55528.6|-131365.8:-55410.6|-131055.3:-55243.7|-130449.6:-54847.4|-129895:-54334.2|-129410.6:-53756.4|-128992.1:-53156.4|-128117.9:-51307.4|-127481.3:-49622|-126623.2:-47180.8|-126406.6:-46212.3|-126333:-45469.8|-126463.4:-44359.9|-126680.7:-43512.8|-127547.2:-41721.6|-129316:-39022.1
Road_0058,,trunk,12,-58424.2:126835.8|-60188.8:121668.3|-61067.2:119104.6
Road_0059,Tunnel Herkulesstrae,trunk,12,-59998.1:127550.5|-59102.9:129785.8|-57876.7:132194.7|-48957.2:146561.7|-40472.4:160549
Road_0060,Hauffstrae,residential,6,-137524.6:115172.8|-144693.5:127245.4|-145100.9:128275.1
Road_0061,Lenaustrae,residential,6,-145916.9:110504|-150004.7:117374.7|-150444.3:117802.2|-150897.8:117956.9
Road_0062,Landmannstrae,residential,6,-142364.6:141820.6|-142061.8:141150.4|-140114.3:136646.4|-138627.3:133227.8|-135725:126659.9|-132689.4:119023.3|-132589.2:118364.3|-132456:117807.7
Road_0063,Lenauplatz,residential,6,-130485.3:113406.1|-130849.9:113289.3|-131323.8:113093.3|-134829.7:111007.2
Road_0064,Siemensstrae,residential,6,-125757.4:132494.2|-129426:138374.1|-134077.5:146106.4|-134379.7:146611.8
Road_0065,Siemensstrae,residential,6,-125757.4:132494.2|-124798.4:130984.7|-122126:126724.5
Road_0066,Eichendorffstrae,residential,6,-109965.5:125164.9|-110518:124914.4|-110860.8:124715.1|-117337.8:120953.6
Road_0067,Frsterstrae,residential,6,-122126:126724.5|-115097.9:130834.4|-114504.9:131180.6|-113999.4:131521.2
Road_0068,Merkensstrae,residential,6,-135725:126659.9|-128413:130900.1
Road_0069,Brandtsplatz,residential,6,-124827.1:124816.4|-127592.1:129520.8|-128413:130900.1
Road_0070,Frsterstrae,residential,6,-122126:126724.5|-124827.1:124816.4|-128080.7:122169.2|-132456:117807.7
Road_0071,Eichendorffstrae,residential,6,-124023.7:116994|-118801.6:120141
Road_0072,Eichendorffstrae,residential,6,-124023.7:116994|-129877.5:113639.9|-130485.3:113406.1
Road_0073,Gustav-Freytag-Strae,residential,6,-145916.9:110504|-146252:110284.7|-146366.2:110072.1|-146505.1:109642.4|-146481.2:109237.2|-146264.6:108838.7
Road_0074,Gustav-Freytag-Strae,residential,6,-146264.6:108838.7|-146041:108406.8|-141029.1:100485.2|-140638:100272.6|-140258.7:100156.8|-139675.4:100170.2|-139264.6:100198|-138676.4:100220.3
Road_0075,Heidemannstrae,service,4,-137858.3:76909.9|-136728.9:77050.1|-135776.2:76362.2|-132012.2:73457.8
Road_0076,Heidemannstrae,service,4,-105642.9:50676.2|-102223.1:48353
Road_0077,,footway,2,-99022.1:45880.5|-93183.8:41534.6|-88585.6:38112.6
Road_0078,Hosterstrae,residential,6,-129041.9:90946.2|-131374.3:92150.7|-135536.4:94057.6|-139499.4:95401.2
Road_0079,Ennenstrae,residential,6,-119626:95446.9|-126262.9:94380.4|-127515.7:92860.9|-129041.9:90946.2|-130806.4:88761|-132451.8:87130.2
Road_0080,Ennenstrae,residential,6,-138522.9:77605.6|-137859:78491.7
Road_0081,Gotthelfstrae,residential,6,-114130.5:67271.8|-115701.6:68397.2|-122477.9:73257.5|-128691.3:77619
Road_0082,Eisheiligenstrae,residential,6,-122477.9:73257.5|-111693.6:88604
